Spike1 = 1 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential = 109 | OutputSignal = 0
Spike1 = 1 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential = 109 | OutputSignal = 1
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential = 109 | OutputSignal = 1
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential = 109 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential = 103 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential = 103 | OutputSignal = 1
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential = 103 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  97 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  97 | OutputSignal = 1
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  97 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  91 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  86 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  81 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  76 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  72 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  68 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  64 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  60 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  57 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  54 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  51 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  48 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  45 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  43 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  41 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  39 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  37 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  35 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  33 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  31 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  30 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  29 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  28 | OutputSignal = 0
relaunch_sim: Time (s): cpu = 00:00:06 ; elapsed = 00:00:12 . Memory (MB): peak = 2085.305 ; gain = 0.000
